Dato;Wind;Temp;Sun
22/11/2023;5.42;3.75;0
23/11/2023;9.83;7.96;2
24/11/2023;5.46;1.83;127
25/11/2023;2.46;0.88;294
26/11/2023;1.46;-1.21;34
27/11/2023;5.25;0.29;12
28/11/2023;2.42;-4.58;180
