﻿Dato,Wind,Temp,Sun,MWh,Flow
19-04-2020 00:00,3,6.92,783,210802,7256.48
20-04-2020 00:00,3,8.42,795,203325,7146.36
21-04-2020 00:00,4.25,9.42,806,183157,6759.96
22-04-2020 00:00,3.42,9.88,812,175026,6465.67
23-04-2020 00:00,1.96,10.96,799,159538,6041.6
24-04-2020 00:00,5.38,7.67,436,173331,6399.15
25-04-2020 00:00,3.13,8.04,577,182633,6472.48
26-04-2020 00:00,2.75,6.63,2,204559,7046.68
27-04-2020 00:00,1.67,6.25,3,254213,8280.59
28-04-2020 00:00,2,6.83,359,234694,7746.04
29-04-2020 00:00,4.21,6.92,2,237130,7811.89
30-04-2020 00:00,3.75,7.63,82,243818,7919.86
01-05-2020 00:00,2.33,7.38,81,246695,8055.9
02-05-2020 00:00,2.67,7.67,154,221451,7417.65
03-05-2020 00:00,4,7.42,361,221283,7542.12
04-05-2020 00:00,4.38,6.54,769,225931,7734.36
05-05-2020 00:00,2.67,7.21,693,208240,7221.73
06-05-2020 00:00,5.63,7.08,428,221217,7502.34
07-05-2020 00:00,4.58,8.75,475,204903,6865.18
08-05-2020 00:00,3.63,9.38,584,183858,6599.12
09-05-2020 00:00,0.88,11.71,531,149589,5746.14
10-05-2020 00:00,4.46,7.21,348,168205,6253.23
11-05-2020 00:00,4.63,5.54,659,222735,7578.17
12-05-2020 00:00,4.63,5.04,371,227439,7755.75
13-05-2020 00:00,2.63,5.17,590,227248,7764.59
14-05-2020 00:00,4.88,5.92,531,219269,7545.83
15-05-2020 00:00,6.33,8.08,271,379179,7417.36
16-05-2020 00:00,7.83,8.88,130,206020,7249.64
17-05-2020 00:00,6.88,9.63,199,203860,7221.59
18-05-2020 00:00,4.17,10.04,0,212655,7370.87
19-05-2020 00:00,4.79,10.46,614,190707,6659.77
20-05-2020 00:00,2,11.33,734,162601,5972.23
21-05-2020 00:00,1.29,13.63,662,127838,5024.87
22-05-2020 00:00,4,13.13,220,127661,4955.15
23-05-2020 00:00,5.13,11.67,353,139342,5158.07
