MWh;Flow;Middel vind;Middel temp;Sol i minutter;Dato
204903;6865,18;4,58;8,75;475;07/05/2020
183858;6599,12;3,63;9,38;584;08/05/2020
149589;5746,14;0,88;11,71;531;09/05/2020
168205;6253,23;4,46;7,21;348;10/05/2020
222735;7578,17;4,63;5,54;659;11/05/2020
227439;7755,75;4,63;5,04;371;12/05/2020
227248;7764,59;2,63;5,17;590;13/05/2020
219269;7545,83;4,88;5,92;531;14/05/2020
379179;7417,36;6,33;8,08;271;15/05/2020
206020;7249,64;7,83;8,88;130;16/05/2020
203860;7221,59;6,88;9,63;199;17/05/2020
212655;7370,87;4,17;10,04;0;18/05/2020
190707;6659,77;4,79;10,46;614;19/05/2020
162601;5972,23;2;11,33;734;20/05/2020
127838;5024,87;1,29;13,63;662;21/05/2020
127661;4955,15;4;13,13;220;22/05/2020
139342;5158,07;5,13;11,67;353;23/05/2020
169845;5895,8;6,88;10,13;11;24/05/2020
173696;6073,75;4,38;11,63;477;25/05/2020
150459;5709,43;1,88;11,38;549;26/05/2020
139126;5444,98;4,63;11,42;519;27/05/2020
151259;5732,06;3,29;10,13;905;28/05/2020
142674;5546,55;1,5;10,67;902;29/05/2020
110785;4754,35;2,46;14,5;882;30/05/2020
100396;4543,12;2,63;14,08;795;31/05/2020
97519;4487,85;1,5;15,04;837;01/06/2020
89132;4266,4;1,58;16,33;826;02/06/2020
88387;4277,4;2,08;15,58;551;03/06/2020
107757;4679,92;3,21;12,13;12;04/06/2020
123234;5039,33;3,71;10,63;280;05/06/2020
136002;5287,07;4,54;9,33;280;06/06/2020
141931;5309,11;1,83;10,79;228;07/06/2020
152210;5570,06;2,13;10,17;405;08/06/2020
151726;5690,47;1,25;10,21;189;09/06/2020
136282;5396,29;1,83;13,83;161;10/06/2020
109800;4873,77;4,46;17,08;266;11/06/2020
819485;4650,94;5,04;16,04;6;12/06/2020
97633;4548,09;4,83;16,96;54;13/06/2020
90559;4428,81;5,08;16,88;905;14/06/2020
86442;4341,14;1,79;16,83;936;15/06/2020
78606;4182,86;1,46;17,92;904;16/06/2020
73862;4057,67;1,58;18,38;376;17/06/2020
71970;4085,07;1,79;18,25;482;18/06/2020
77511;4270,47;2,5;15,67;5;19/06/2020
80786;4280,54;4,04;15,79;210;20/06/2020
80663;4317,42;1,96;16,33;722;21/06/2020
80687;4228,51;3,67;15,54;707;22/06/2020
82212;4206,76;1,88;15,88;944;23/06/2020
73278;3858,15;1,38;18,79;859;24/06/2020
65829;3792,7;3,38;20,33;911;25/06/2020
60637;3681,2;3,21;21,46;883;26/06/2020
56160;3165,6;2,5;20,08;494;27/06/2020
62193;3462,92;3,71;16,04;233;28/06/2020
77507;4181,46;4,54;13,83;348;29/06/2020
89630;4485,44;6,04;13,29;81;30/06/2020
95941;4626,28;2,92;14,21;125;01/07/2020
93394;4555,91;3,13;13,58;548;02/07/2020
103466;4953,69;3,5;12,08;127;03/07/2020
103492;4763,84;5,04;14,67;0;04/07/2020
175756,56;4731,15;6,96;14,67;95;05/07/2020
119864;5223,45;7,17;12,08;374;06/07/2020
129210;5662,13;4,71;11,42;251;07/07/2020
132539;5820,54;4,25;11,17;339;08/07/2020
115760;5394,19;1,88;11,96;534;09/07/2020
120872;5631,41;3,38;10,79;282;10/07/2020
117824;5476,34;5,17;12,04;520;11/07/2020
116071;5421,51;4,21;12,83;239;12/07/2020
112611;5389,56;2,96;13,96;357;13/07/2020
105582;5165,82;2,67;13,58;131;14/07/2020
107373;5197,91;2,13;13,08;267;15/07/2020
97862;4952,66;1,79;13,96;434;16/07/2020
92367;4833,19;1,83;14,79;505;17/07/2020
77425;4614,87;2,29;17,33;201;18/07/2020
74429;4374,65;2,33;17;57;19/07/2020
89264;4716,8;3,92;13,5;481;20/07/2020
94727;4863,32;4,17;12,83;553;21/07/2020
95581;4896;3,38;12,21;513;22/07/2020
104649;5060,57;2,5;12,13;53;23/07/2020
98712;4842,76;4,5;14,33;291;24/07/2020
92756;4605,5;2,08;14,83;237;25/07/2020
86719;4515,4;4,17;15,75;157;26/07/2020
94475;4769,41;3,08;15,13;240;27/07/2020
95013;4756,48;5,29;14,67;214;28/07/2020
117758;5843,82;5,88;12,54;75;29/07/2020
120698;6171,88;5,17;13,38;312;30/07/2020
102013;4689,57;1,75;15,63;771;31/07/2020
77800;4116,81;3,75;18,13;551;01/08/2020
79602;4176,22;3,29;15,21;162;02/08/2020
3313293;4424,7;2,46;13,46;588;03/08/2020
97110;4579,56;2,42;12,96;653;04/08/2020
91292;4449,34;4;15,88;59;05/08/2020
80321;4182,67;2,25;19,83;428;06/08/2020
69782;3953,27;1,71;21,67;787;07/08/2020
57775;3381,68;1,13;21,83;632;08/08/2020
54254;3428,59;1,38;21,04;664;09/08/2020
58266;3611,06;2,21;21,67;761;10/08/2020
55331;3613,46;2,71;21,79;739;11/08/2020
56082;3573,92;3,58;20,38;786;12/08/2020
57554;3650,36;2,38;20,25;830;13/08/2020
56665;3643,94;1,63;19,08;814;14/08/2020
53067;3777,88;1,25;19,38;720;15/08/2020
50542;3953,73;2,54;21,79;725;16/08/2020
51762;3475,27;3,21;21,92;763;17/08/2020
54572;3555,37;1,38;17,88;268;18/08/2020
59644;3642,32;1,25;17,42;505;19/08/2020
61777;3761,89;2,08;17,83;63;20/08/2020
61720;3714,74;4,63;19,88;251;21/08/2020
61950;3720,09;4,5;17,38;293;22/08/2020
72128;3816,27;3,33;14,54;293;23/08/2020
87507;4085,37;1,96;13,25;250;24/08/2020
96143;4503,35;2,58;12,96;335;25/08/2020
86820;4263,98;3,17;15,42;59;26/08/2020
97323;4662,75;3,29;13,38;275;27/08/2020
109937;4910,2;2,79;13;14;28/08/2020
104025;4629,04;1,04;13,58;96;29/08/2020
101687;4683,21;2,25;13,54;392;30/08/2020
104810;4800,22;1,38;13,08;455;31/08/2020
111414;4959,67;1,67;12,29;649;01/09/2020
104033;4759,85;1,38;13,96;635;02/09/2020
111379;4924,06;3,08;12,75;150;03/09/2020
106949;4840,23;3,71;14,5;227;04/09/2020
113096;5000,81;3,25;11,92;315;05/09/2020
1090885;5273,5;2,79;10,58;412;06/09/2020
132704;5539,71;3,04;11,96;414;07/09/2020
109934;4966,42;4,67;15,5;277;08/09/2020
107132;4832,97;5,46;14,92;145;09/09/2020
125438;5355,16;3,29;11,25;411;10/09/2020
132493;5375,5;3,33;12,63;65;11/09/2020
121825;5097,02;4,21;13,5;84;12/09/2020
123246;5173,79;4,79;14,96;2;13/09/2020
108593;4852,14;2,42;16,29;594;14/09/2020
33651299;4594,6;1,04;16,67;589;15/09/2020
102502;4777,47;3,58;12,71;318;16/09/2020
136690;5604,47;1,38;9,21;670;17/09/2020
150782;5942,04;0,92;8,75;685;18/09/2020
149897;5843,98;0,38;9,42;280;19/09/2020
154466;5882,35;0,46;9,5;178;20/09/2020
153340;5924,52;0,83;10,71;369;21/09/2020
2240742;5740,39;1,29;11,25;536;22/09/2020
122594;5215,68;2,92;13,75;206;23/09/2020
124044;5239,99;5,21;13,46;302;24/09/2020
149420;5750,04;3,25;11,54;1;25/09/2020
152286;5765,19;3,67;12,13;11;26/09/2020
125837;5186,52;5,42;16,17;235;27/09/2020
128934;5278,72;2,96;14,04;25;28/09/2020
148231;5676,25;2,42;12,79;28;29/09/2020
144628;5605,46;2,33;13,13;65;30/09/2020
147988,78;5701,95;5;13,67;136;01/10/2020
143663,56;5566,41;5,33;13,88;36;02/10/2020
138836,41;5381,11;8,17;14,71;40;03/10/2020
132419,69;5281,71;3,38;12,38;281;04/10/2020
162000,96;6033,12;3,25;10,79;258;05/10/2020
177853,97;6348,88;2,79;10,38;50;06/10/2020
173466,55;6130,55;2,21;11,08;143;07/10/2020
198291,88;6601,34;2,79;9,67;7;08/10/2020
220340,77;7256,82;2,58;8,54;130;09/10/2020
214772,64;7145,79;2,88;7,58;175;10/10/2020
217044,69;7299,99;1,63;6,83;288;11/10/2020
248231,42;8122,16;1,13;6,88;53;12/10/2020
221952,73;7473,48;1,63;8,25;336;13/10/2020
239141,89;7952,11;4,54;7,13;279;14/10/2020
252246,72;8246,13;3;6,75;130;15/10/2020
254775;8331,81;1,67;6,29;360;16/10/2020
235346,86;7858,53;2,83;8;418;17/10/2020
222778,27;7533,43;3,5;6,58;400;18/10/2020
270293,21;8651,48;1,63;5,96;266;19/10/2020
264763,03;8312,01;3,58;8,42;2;20/10/2020
300826,33;7343,5;4,25;12,17;1;21/10/2020
207470,93;6830,98;6,75;12,25;92;22/10/2020
220683,64;7017,64;3,33;10,42;115;23/10/2020
204154,01;6570;3,79;10,71;251;24/10/2020
214409,12;6900,87;4,63;11,29;0;25/10/2020
240217,38;7435,88;3,38;8,96;23;26/10/2020
259971,26;8039,61;4,71;8,29;129;27/10/2020
259595,66;8095,25;4,17;8,75;234;28/10/2020
253195,1;7929,63;2,42;8,17;330;29/10/2020
242485,64;7645,98;2,79;10,5;0;30/10/2020
215913,53;6993,87;2,54;10,71;103;31/10/2020
217901,6;6990,54;4,71;10,92;98;01/11/2020
207120,15;6852,9;8,75;13,29;0;02/11/2020
247977,43;8038,74;5,04;8,79;287;03/11/2020
273150,63;8608,39;4,71;7,5;303;04/11/2020
272887;8400,19;5,54;9,58;0;05/11/2020
230110,05;7363,04;3,25;10,96;229;06/11/2020
238392,62;7509,28;1,29;6,92;74;07/11/2020
279266,02;8636,91;1,5;5,17;425;08/11/2020
297575,26;9091,82;3,38;6,21;2;09/11/2020
312135,46;9436,55;3;5,63;0;10/11/2020
326863,09;9883,41;2,13;4,54;0;11/11/2020
304839,65;9308,84;3,46;7,17;0;12/11/2020
295299,37;9037,96;2,63;7,33;125;13/11/2020
280820,22;8666,3;2,42;7,33;140;14/11/2020
234339,04;7474,14;4,46;10,96;174;15/11/2020
264470;8138,8;4,29;8,83;94;16/11/2020
267187;8187,9;5,33;10,25;0;17/11/2020
258800;7980,86;7,08;10,88;0;18/11/2020
307319;9294,06;7,04;5,63;146;19/11/2020
359398;10950,04;2,46;2,75;252;20/11/2020
310704;9415,19;6,79;8,04;0;21/11/2020
301766;9281,08;5,46;7,04;233;22/11/2020
323097;9778,65;4,13;6,33;240;23/11/2020
299100;9091,06;5,17;8,83;0;24/11/2020
311354;9395,62;3,38;6,46;11;25/11/2020
295083;9033,01;2,58;6,04;284;26/11/2020
360479;10803,61;0,25;1,63;200;27/11/2020
389356;11706;1,96;0,29;35;28/11/2020
392735;11829,63;1,04;0,25;0;29/11/2020
413281;12311,54;3,21;0,92;0;30/11/2020
386094;11543,82;1,58;3,29;8;01/12/2020
373560;11132,33;1,58;2,92;1;02/12/2020
403007;11976,97;4,83;1,17;2;03/12/2020
412276;12287,67;5,25;1,71;0;04/12/2020
378409;11385,63;3,71;3,04;1;05/12/2020
371344;11230,76;3;3,75;0;06/12/2020
354912;10687;5,13;5,5;0;07/12/2020
363878;10880,48;2,08;4,13;60;08/12/2020
372783;11201,95;2,38;3,38;0;09/12/2020
381217;11437,29;2,54;2,54;0;10/12/2020
408042;12195,01;5,08;1,46;0;11/12/2020
389502;11646,73;4,38;2,5;0;12/12/2020
385925;11626,15;3,67;2,63;6;13/12/2020
380704;11535,46;4,63;5,63;0;14/12/2020
