MWh;Flow;Middel vind;Middel temp;Sol i minutter;Dato
146953,01;322430,13;1,17;17,67;505;04/07/2021
78723,01;3878,39;2,46;15,79;247;05/07/2021
85679,03;4164,38;3,5;16,46;167;06/07/2021
83186,01;4062,59;3,67;16,75;547;07/07/2021
78243;3935,61;1,54;17,33;651;08/07/2021
73898;3483,25;1,92;16,75;258;09/07/2021
79011;3786,73;3,92;15,13;158;10/07/2021
78300;3923,1;1,17;16,42;535;11/07/2021
70631;3771,83;4,17;20,04;506;12/07/2021
62601;3576,06;2,88;20,92;457;13/07/2021
58471;3463,21;1,83;22,54;707;14/07/2021
56748;3423,95;3,42;19,92;760;15/07/2021
57646;3611,87;2,79;20,71;890;16/07/2021
55990;3506,36;4,83;18,42;924;17/07/2021
63675,01;3694,28;5,71;15,63;312;18/07/2021
71474,01;3911,42;4,29;15,21;604;19/07/2021
74675,01;3989,87;4,88;15,25;124;20/07/2021
78912,01;4062,87;3,33;14,75;193;21/07/2021
78124,01;4001,36;3,08;15,38;259;22/07/2021
171526,01;3962,65;1,5;15,96;252;23/07/2021
70642,01;3833,95;2,88;18,46;600;24/07/2021
61915,01;3592,21;5,29;20;212;25/07/2021
61454,01;3519,61;1,92;19,42;87;26/07/2021
63407,01;3558,26;2,08;17,83;298;27/07/2021
69566;3695,55;3,54;16,67;139;28/07/2021
79548,01;3966,84;5,21;14,33;221;29/07/2021
80288,01;3976,45;5,33;16,29;219;30/07/2021
79775;3938,29;3,08;15,04;98;31/07/2021
85731,01;4127,56;4,33;14,58;328;01/08/2021
89536,02;4190,24;4,04;14,88;299;02/08/2021
92602,01;4292,41;2,54;13,67;129;03/08/2021
94513,01;4318,4;0,92;13,75;273;04/08/2021
95537,02;4338,4;2,71;14,83;199;05/08/2021
84509,01;4138,92;5,42;17;303;06/08/2021
76513,02;3991,62;2,96;16,08;381;07/08/2021
80810,01;4077,47;3,33;15,04;204;08/08/2021
85586,01;4188,72;3,58;15,67;296;09/08/2021
86376,01;4115,64;1,88;14,42;235;10/08/2021
87869;4013,36;2,25;15;491;11/08/2021
78262,03;10508,21;2,46;17,46;436;12/08/2021
76991,01;3499,83;4;16,42;254;13/08/2021
79348,04;3787,6;5;15,92;238;14/08/2021
83089,04;4154,26;3,33;14,71;289;15/08/2021
100708,01;4581,73;2,88;12,33;133;16/08/2021
103288,02;4637,48;6,17;14,96;309;17/08/2021
110871,01;4795,58;5,92;13,71;34;18/08/2021
114764,03;4893;4,83;13,92;258;19/08/2021
112839,02;4863,48;2,54;13,29;243;20/08/2021
108121,02;4690,16;1,21;12,83;473;21/08/2021
99033,29;4562,63;2,5;13,96;390;22/08/2021
100186,02;4593,62;1,54;14,75;698;23/08/2021
94266,03;4422,97;1,75;14,29;691;24/08/2021
98649,03;4398,73;5,17;14,25;137;25/08/2021
112953,01;4773,49;4,63;13,79;180;26/08/2021
116297,02;4750,05;5,13;14,54;55;27/08/2021
109378,11;4293,27;4;14,5;54;28/08/2021
102885,27;4390,06;3,42;15,71;186;29/08/2021
97571,02;4210,35;2,5;15,38;650;30/08/2021
96569,03;4509,03;1,5;14,63;648;31/08/2021
95930,03;4497,09;2,54;14,38;556;01/09/2021
93112,01;4423,71;2,21;14,88;358;02/09/2021
94311,02;4403,09;4,63;14,25;575;03/09/2021
91846;4344,68;2,67;13,54;690;04/09/2021
97697;4550,93;2,33;12,83;640;05/09/2021
107574;4788,9;1,04;12,54;128;06/09/2021
107222;4754,76;1,42;14,63;113;07/09/2021
88431;4277,3;1,58;17,25;618;08/09/2021
79780;4101,73;2,04;17,54;693;09/09/2021
79309;4052,82;1,71;16,71;43;10/09/2021
75282;3944,55;2,75;17,42;71;11/09/2021
81112;4136,24;4,58;15,83;231;12/09/2021
102091;4552,04;3,04;14,38;106;13/09/2021
100245;4526,37;1,13;14,33;173;14/09/2021
204034;4820,29;3,5;14,08;0;15/09/2021
108934;4659,26;2,88;14,42;40;16/09/2021
139258;5373,18;3,63;11,83;3;17/09/2021
4805;198,98;2,46;13,42;0;18/09/2021
143008;5403,89;2,83;11,17;56;19/09/2021
170974;6160,2;1,08;10,29;70;20/09/2021
166973;6004,38;3;11,83;121;21/09/2021
145030;5493,4;3,83;13,79;465;22/09/2021
138725;5158,93;8,17;13,46;98;23/09/2021
159805;5671,83;5,17;13,33;27;24/09/2021
130322;5085,51;2,46;13,04;405;25/09/2021
136197;5209,66;2,5;14;135;26/09/2021
129923;4883,57;3;15,21;15;27/09/2021
384027,66;5226,7;1,88;12,08;436;28/09/2021
146124;5606,97;3,17;12,13;90;29/09/2021
174130;6230,62;4,13;10,42;91;30/09/2021
188887;6657,2;6;11,75;2;01/10/2021
6466;250,05;3,08;12,46;63;02/10/2021
156701;5750,81;4,04;12,92;0;03/10/2021
185040;6697,24;3,92;11,88;113;04/10/2021
188998;7188,34;3,08;10,92;173;05/10/2021
177265;6470,73;1,96;10,92;267;06/10/2021
204221,39;6673,21;1,33;9,08;493;07/10/2021
194149;6836,99;1,71;9;397;08/10/2021
182984;6344,62;1,83;9,42;247;09/10/2021
211066;6956,79;2,21;8,38;215;10/10/2021
207308;6776,4;4,17;8,75;292;11/10/2021
236574;7517,38;1,79;5,79;459;12/10/2021
259434;8110,99;2,33;6,92;209;13/10/2021
220721;7044,18;4,88;11;80;14/10/2021
218664;7122,26;5,96;9,33;373;15/10/2021
229789;7301,09;3,46;7,92;156;16/10/2021
231181;7339,96;1,46;8,21;39;17/10/2021
225229;7163,3;2,13;10;0;18/10/2021
306462;7056,02;4;12,04;0;19/10/2021
182803;6144,45;4,92;13,04;9;20/10/2021
2330171;7251,75;5,29;7,5;143;21/10/2021
280055;8352,06;6;6,54;205;22/10/2021
409622;8337,51;3,21;7,04;255;23/10/2021
252179;7734,65;3,46;8,38;249;24/10/2021
808920;8245,42;3,21;8,13;33;25/10/2021
239121;7452,34;2,75;9,83;205;26/10/2021
215224;6903,57;6,92;13,25;0;27/10/2021
205691;6713,27;4,38;11,67;292;28/10/2021
221767;7013,26;3,63;10,08;363;29/10/2021
215959;6859,83;3,38;10,46;64;30/10/2021
234272;7336,02;3,83;10,13;111;31/10/2021
235730;7315,7;5,25;9,75;90;01/11/2021
261469;7925,95;2;6,75;217;02/11/2021
288578;8603,69;1,04;4,29;242;03/11/2021
326772;9644,29;1,83;4;12;04/11/2021
303417;9033,37;4,13;7,08;198;05/11/2021
267563;8144,01;5;9,54;2;06/11/2021
60263;1838,95;3,92;7,54;80;07/11/2021
292962;8853,57;1,71;6,38;46;08/11/2021
288498;8555,35;5,04;8,83;0;09/11/2021
254172;7889,69;2,88;9,71;6;10/11/2021
266161;8145,57;2,5;8,25;61;11/11/2021
285124;8544,32;3,04;7,13;0;12/11/2021
288899;8666,76;2,88;6,58;0;13/11/2021
289053;8706,33;2,92;7,29;0;14/11/2021
307096;9131,9;1,54;6,33;0;15/11/2021
324988;9662,09;1,71;4,38;0;16/11/2021
322650;9541,27;3,46;5,63;96;17/11/2021
300315;8982,26;5,58;9,38;0;18/11/2021
259299;7965,24;6,63;10,75;93;19/11/2021
256456;7791,39;6,08;9,54;1;20/11/2021
304672;9050,03;3;3,79;177;21/11/2021
366044;10833,58;2,21;3,17;296;22/11/2021
318369;9440,34;4,29;6,33;245;23/11/2021
317625;9418,68;3,46;6,67;51;24/11/2021
314168;9339,77;3,71;4,92;196;25/11/2021
363192;10603,63;3,46;2;83;26/11/2021
354097;10429,91;3,83;2,08;109;27/11/2021
367717;10800,26;1,54;1,25;2;28/11/2021
339691;9866,07;2,79;0,13;312;29/11/2021
334880;9656,22;5,67;2,13;200;30/11/2021
342361;9831,06;6,5;1,83;0;01/12/2021
435650;13120,08;4,04;0,04;275;02/12/2021
428514;12653,08;3,21;1,75;0;03/12/2021
405659;11813,7;3,08;1,58;5;04/12/2021
423862;12298,69;6,92;0,96;0;05/12/2021
472608;13555,56;4,25;-0,08;41;06/12/2021
459495;12960,52;5,46;0,92;5;07/12/2021
451995;12809,75;5,96;1,42;0;08/12/2021
440297;12475,47;3,71;0,88;2;09/12/2021
430567;12185,13;2,13;1,38;0;10/12/2021
419931;12040,8;1,46;0,42;131;11/12/2021
402113;11524,26;2,92;4,21;0;12/12/2021
355428;10318,54;3;7,42;0;13/12/2021
360607;10455,2;2,83;5,08;145;14/12/2021
343673;10265,34;5,13;7,75;40;15/12/2021
344044;10094,5;3,33;5,46;344;16/12/2021
349916;10146,48;3,96;6,21;2;17/12/2021
321847,45;9681,76;6,08;6,58;217;18/12/2021
337634,05;10084,59;5,13;4,29;262;19/12/2021
437803,24;12749,35;0,96;-1,38;338;20/12/2021
478752,05;13982,19;0,96;-1,63;98;21/12/2021
447447,04;13551,17;1,42;1,08;131;22/12/2021
455340,05;13580,04;1,71;-0,88;0;23/12/2021
476379,06;14521,16;2,42;-4,5;134;24/12/2021
536907,15;16513,62;0,38;-7,79;331;25/12/2021
539309,16;16213,82;0,88;-7,13;331;26/12/2021
556147,1;16547,38;4,92;-2,58;150;27/12/2021
487203,04;14466,85;3,96;0;0;28/12/2021
455453,04;13442,15;1,75;0,79;0;29/12/2021
390227,02;11834,59;4,67;7;4;30/12/2021
341224,09;10644,06;3,96;7,88;0;31/12/2021
316680,13;10011,19;3,96;8,17;0;01/01/2022
752053,17;9803,98;3,88;7,58;0;02/01/2022
474479,03;10410,29;6,29;6,63;4;03/01/2022
0,08;87,44;3,08;2,5;134;04/01/2022
410264,06;12286,98;3,92;1,54;83;05/01/2022
457391,05;13820,62;1,75;-0,71;333;06/01/2022
437492,68;13037,58;4,29;1,79;61;07/01/2022
415165,44;12453,57;3,71;1,67;146;08/01/2022
432521,31;12975,99;3,17;0,33;0;09/01/2022
451803,54;13803,85;2,46;1,17;26;10/01/2022
443343,15;13555,41;2,92;2,04;22;11/01/2022
421270,1;12910,78;3,58;3,83;31;12/01/2022
376836,12;11592,18;6,75;6,33;8;13/01/2022
369313,04;11553,68;6,13;4,5;288;14/01/2022
403369,08;12415,97;2,17;1,92;116;15/01/2022
382247,1;11813,48;6,13;4,46;5;16/01/2022
401057,03;12296,82;7,33;4,04;355;17/01/2022
388304,06;11875,42;4,54;4,71;113;18/01/2022
398847,05;12080,56;7,71;4,13;0;19/01/2022
459346,06;13989,25;6,96;-0,04;295;20/01/2022
451785,03;13732,3;3,67;2,17;130;21/01/2022
0,03;25,52;3,75;5,46;26;22/01/2022
358743,04;11097,91;3,54;5,58;2;23/01/2022
387458,04;11821,81;4,38;4,38;0;24/01/2022
370837,07;11344,94;4,25;5,38;35;25/01/2022
380931,07;11542,73;6,88;4,96;35;26/01/2022
380583,07;11436,56;11,08;5,58;94;27/01/2022
403143,05;12180,69;5,38;3,54;306;28/01/2022
363654,06;10977,64;12,08;6,46;19;29/01/2022
395307,08;12179,92;9,92;4,04;310;30/01/2022
407521,09;12386,39;2,13;1,54;44;31/01/2022
402474,16;12014,03;7,08;4,08;32;01/02/2022
398284,05;11939,24;6,83;3,88;311;02/02/2022
371627,53;11286,38;3,96;5,46;0;03/02/2022
374661,32;11404,18;4,83;3,79;1;04/02/2022
388445,38;11921,42;6,92;3,63;139;05/02/2022
371383,33;11749,36;4,92;3;83;06/02/2022
407052,04;12269,55;6,79;3,04;319;07/02/2022
359080,1;10939,98;6,38;5,96;288;08/02/2022
354969,01;10827,5;5,92;5,46;135;09/02/2022
403557,24;12295,08;4,21;2,96;189;10/02/2022
428084,14;12641,62;3,04;0,63;344;11/02/2022
411399,14;12382,61;5,75;1,83;115;12/02/2022
384761,06;11224,76;5,92;3,04;0;13/02/2022
379762,08;11176,95;7,42;6,67;2;14/02/2022
377834,48;11083,57;6,42;4,5;127;15/02/2022
381872,53;11265,09;6,75;5,17;1;16/02/2022
409266,1;11998,31;8,79;4,38;101;17/02/2022
397226,79;11704,93;5,13;2,83;7;18/02/2022
408854,07;12360,17;7,21;3,13;167;19/02/2022
380982,05;11368,64;5,38;3,33;0;20/02/2022
407468,05;12316,72;8,38;4,33;237;21/02/2022
391701,13;11580,96;5,33;3,42;49;22/02/2022
394861,57;11506,84;7,38;5,25;151;23/02/2022
402396,09;11747,65;5,21;3,08;11;24/02/2022
378941,8;11355,51;5,13;3;240;25/02/2022
372176,03;11556,9;1,21;1,96;493;26/02/2022
376487,04;11187,61;2,96;1,71;545;27/02/2022
415408,13;12174,21;3,58;2,46;550;28/02/2022
383051,22;11440,52;1,58;1,17;14;01/03/2022
327529,6;10914,77;0,96;1,79;378;02/03/2022
364753,09;11145,4;1,63;1,29;457;03/03/2022
377791,82;11396,46;1,79;0,71;468;04/03/2022
367109,04;11504,82;1,38;-0,17;377;05/03/2022
377131,46;11341,79;1,38;1,13;562;06/03/2022
343768,49;10182,11;0,88;0,5;589;07/03/2022
342125,03;10057,14;1,25;2,33;465;08/03/2022
341513,69;9984,45;3,13;2,46;553;09/03/2022
343980,41;10272,5;4,79;3,29;542;10/03/2022
330005,12;10192;6,88;3,21;613;11/03/2022
315083,78;9882,71;5;3,38;554;12/03/2022
320790,64;9690,38;4,79;4,21;591;13/03/2022
296561,7;9550,22;3,04;5,33;471;14/03/2022
341636,45;10177,32;1,63;4,67;333;15/03/2022
369865,09;10545,37;3,21;2,38;200;16/03/2022
324057,06;9499,03;5,63;4,29;61;17/03/2022
309256,45;9223,89;2,75;5,13;596;18/03/2022
309311,67;9184,73;2,46;3,75;629;19/03/2022
313455,06;9183,43;5,75;3,63;557;20/03/2022
292760,48;8780,39;3,42;4,83;475;21/03/2022
262924,13;8056,38;1,08;5,96;540;22/03/2022
262715,11;7987,87;2,13;6,63;635;23/03/2022
249805,12;7750,57;0,96;6,25;674;24/03/2022
221330,44;7051,5;3;6,83;575;25/03/2022
247393,62;7539,24;3,88;7,88;553;26/03/2022
300093,12;8819,62;4,08;4,75;510;27/03/2022
315762,86;9445,43;5,25;5,04;82;28/03/2022
352602,92;10332,1;4,04;2,96;422;29/03/2022
362520,73;10669,95;3,88;0,58;287;30/03/2022
364500,13;10798,46;4;1,13;589;31/03/2022
350521,43;10353,99;3,42;1,13;435;01/04/2022
336917,72;9940,13;2,83;0,79;486;02/04/2022
353575,09;10201,09;5,04;2,75;297;03/04/2022
349759,62;10179,4;9,42;4,5;76;04/04/2022
345360,18;9874,03;4,92;2,75;307;05/04/2022
320245,74;9149,39;5,21;4,88;23;06/04/2022
339770,11;9737,33;5,58;4,96;134;07/04/2022
324672,5;9386,22;7,38;3,17;395;08/04/2022
333093,15;9724,87;8,04;3,79;384;09/04/2022
331466,12;9696,22;6,58;3,17;368;10/04/2022
316807,6;9626,36;3;3,46;543;11/04/2022
253296,16;8211,88;4,96;5,58;384;12/04/2022
263160,75;8164,49;4,08;9,71;251;13/04/2022
300776,16;8818,98;3,83;6,79;1;14/04/2022
259176,5;7916,29;3,5;6,08;0;15/04/2022
231259,34;7346,21;1,25;6,5;628;16/04/2022
211443,08;6714,57;1,21;7,13;770;17/04/2022
197003,08;6353,16;2,29;8,54;787;18/04/2022
176904,15;6146,76;1,67;8,71;747;19/04/2022
174616,49;5928,8;2,08;9,17;771;20/04/2022
167518,11;5866,89;3,58;9,67;788;21/04/2022
163974,49;5677,42;4,5;10,29;778;22/04/2022
174630,2;6087,36;4,42;9,17;795;23/04/2022
201959,51;6517,66;5;8,33;473;24/04/2022
211554,58;6714,85;2,38;6,88;632;25/04/2022
214491,2;6925,12;2,33;6,25;462;26/04/2022
194644,47;6421,56;2,17;7,42;584;27/04/2022
206117,15;6568,95;3,92;7,54;828;28/04/2022
193331,52;6385,29;3,83;7,42;345;29/04/2022
190974,26;6508,22;2,54;7,92;520;30/04/2022
190886,56;6371,49;2,08;6,42;479;01/05/2022
174658,87;5980,54;3,71;7,63;568;02/05/2022
171173,59;5945,52;2,92;9,67;686;03/05/2022
210973,12;6723,6;2,08;7,54;659;04/05/2022
198160,13;6338,83;2,54;6,63;206;05/05/2022
171468,45;5794,89;3,08;10,13;97;06/05/2022
171802,19;5993,11;4,79;9,33;562;07/05/2022
143705,34;5201,17;2,54;9,88;845;08/05/2022
144482,55;5231,46;3,25;12,04;774;09/05/2022
176782,31;6062,53;3,92;11,63;8;10/05/2022
168557,1;5846,4;4,29;10,29;0;11/05/2022
164234,15;5693,67;5,67;10,46;527;12/05/2022
155871,45;5814,76;5,46;10,71;92;13/05/2022
146239,9;5801,36;5,63;10,5;581;14/05/2022
136309,33;5199,6;1,83;10,83;528;15/05/2022
124661,33;4960,75;3,83;12,54;260;16/05/2022
107698,73;4881,67;4,08;14,29;549;17/05/2022
91938,02;4829,72;3,42;15,54;531;18/05/2022
113968,13;4810,39;1,58;14,38;156;19/05/2022
123808,22;5115,68;2,46;12,33;227;20/05/2022
118868,79;5075,31;5;11,25;234;21/05/2022
104586,11;4668,74;2,38;12,38;604;22/05/2022
112162,07;4985,23;5,29;14,46;731;23/05/2022
124948,46;5381,85;5;12,42;75;24/05/2022
120964,04;5332,18;5,08;12,04;371;25/05/2022
141665,06;5824,16;6,83;11,75;442;26/05/2022
147873,05;5918,75;6,88;9,21;436;27/05/2022
133214,09;5658,26;5,83;10,5;403;28/05/2022
153495,17;5992,63;3,42;10,29;611;29/05/2022
162127,18;6219,18;1,38;9,5;60;30/05/2022
149332,43;5828,7;1,54;9,75;146;31/05/2022
163148,26;6098,84;2,46;10,13;565;01/06/2022
162293,06;6120,52;4,88;9,83;0;02/06/2022
135327,15;5571,76;4,04;10,88;226;03/06/2022
119244,14;5242,99;1,96;11,83;452;04/06/2022
107928,16;4999,17;1,5;13,46;561;05/06/2022
137990,13;10151,1;3,96;14,08;245;06/06/2022
146267,29;5226,01;4,29;11,13;6;07/06/2022
125595,05;4930,84;2,46;12,42;45;08/06/2022
112298,06;4993,33;3,08;14,08;83;09/06/2022
100190,08;4723,26;3,63;14,54;276;10/06/2022
99690,04;4840,7;3,83;14,54;604;11/06/2022
115773,12;5184,89;4,38;13,42;306;12/06/2022
114922,1;5066,58;5;12,04;440;13/06/2022
1293787,29;4902,37;4,29;13,17;192;14/06/2022
105173,03;4507,18;2,71;12,67;414;15/06/2022
98225,03;4387,31;3,83;14,08;817;16/06/2022
86347,05;4124,14;3;15,75;194;17/06/2022
96073,5;4438,42;3,58;15,79;469;18/06/2022
106376,04;4521,81;2,38;11,88;278;19/06/2022
103196,22;4455,52;1,83;11,92;334;20/06/2022
100291,19;4330,45;4,17;13,46;474;21/06/2022
95297,14;4230;3,29;13,29;45;22/06/2022
75879,01;3740,54;1,54;16,5;655;23/06/2022
68033,04;3534,27;3,96;19,58;741;24/06/2022
65198,01;3486,45;1,17;18,79;528;25/06/2022
82992,03;3983,43;3,04;19,21;469;26/06/2022
88966,18;4016,9;2,29;13,21;0;27/06/2022
76979,17;3773,82;1,92;14,96;602;28/06/2022
66589,69;3490,42;2,63;17,08;799;29/06/2022
68635,01;3547,6;2,83;18,88;882;30/06/2022
72872,41;3570,46;3,25;15,71;64;01/07/2022
66276,53;3506,71;3,92;15,79;674;02/07/2022
72020,11;3567,61;2,79;17,38;488;03/07/2022
85412,11;3892,35;3,96;14,21;376;04/07/2022
88123,1;4050,99;3,79;13,42;324;05/07/2022
82672,05;3759,03;4,33;13,67;405;06/07/2022
86616,01;3974,46;5,29;15,08;472;07/07/2022
83550,73;3909,83;5,83;14,13;280;08/07/2022
87223,69;4008,51;6,21;13,58;280;09/07/2022
82275,11;3785,76;4,88;13,25;554;10/07/2022
70293,11;3420,96;2,33;14,88;819;11/07/2022
68403,14;3374,11;3,25;16,96;243;12/07/2022
79822,24;3654,09;4,71;16,25;591;13/07/2022
92632,01;4037,69;5,46;13,13;355;14/07/2022
89180,15;4026,95;5;13;314;15/07/2022
83276,13;3921,7;5,92;13,17;576;16/07/2022
72628,1;3638,53;4,29;15;250;17/07/2022
64154,11;3340,32;3,58;18,33;477;18/07/2022
52655,11;3090,68;1,58;20,92;834;19/07/2022
56328,13;3623,56;3,42;23,58;859;20/07/2022
74485,04;4010,28;3,29;16,38;110;21/07/2022
87101,09;4325,26;5,38;13,79;0;22/07/2022
84427,13;4040,47;3,88;12,83;22;23/07/2022
72543,03;3576,4;3,38;15,67;162;24/07/2022
83361,03;3938,4;3,33;17,92;116;25/07/2022
100258,02;4642,32;6,54;13,54;317;26/07/2022
98122,05;4571,28;6,04;12,63;54;27/07/2022
85247,03;4265,11;2,38;13,13;468;28/07/2022
71658,01;3725,04;1,25;14,71;707;29/07/2022
68942,04;4056,94;1,63;16,33;190;30/07/2022
78885,03;25973,98;1,08;16,33;20;31/07/2022
86132,02;5205,77;4,04;13,88;814;01/08/2022
73287,06;4919,8;3,29;14,13;192;02/08/2022
67354,09;5164,76;3,71;18,75;95;03/08/2022
84078,04;4783,21;3;18,67;354;04/08/2022
86616,74;4681,78;3,13;13,67;335;05/08/2022
89964,03;4828,46;4,04;12,83;432;06/08/2022
1430790,06;4655,58;2,21;13,58;92;07/08/2022
80992,01;4129,71;2,13;15,54;460;08/08/2022
77663,03;3912,9;1,63;15,67;427;09/08/2022
70459,13;3772,23;1;16,29;654;10/08/2022
62502,03;339210,32;0,88;18,88;779;11/08/2022
56374,11;3284,66;1,58;20,42;839;12/08/2022
52311,05;3246,08;1,38;21,21;782;13/08/2022
54763,08;3239,15;3,04;21,79;256;14/08/2022
54453,03;3102,59;3;21,83;566;15/08/2022
57856,02;3098,3;2,79;20,67;456;16/08/2022
64135,06;3663,33;1,42;18,96;282;17/08/2022
65871,05;3920,96;2,46;16,13;61;18/08/2022
58890,82;3694,92;1,33;17,29;303;19/08/2022
62808,83;4356,59;2,04;16,67;529;20/08/2022
74176,06;4178,58;3;14,96;442;21/08/2022
66097;3821,22;1;14,83;386;22/08/2022
61514,05;3654,16;3,88;19,58;431;23/08/2022
59418,02;3720,3;3,79;20,58;546;24/08/2022
57724,03;3458,25;3,75;19,88;632;25/08/2022
59481,11;3584,25;3,04;19,46;163;26/08/2022
67848,05;4040,22;3,42;16,17;405;27/08/2022
71950,1;4218,7;2,96;15,75;157;28/08/2022
77028,13;4380,84;3,67;15,46;676;29/08/2022
81808,03;4416,91;2,38;14,67;603;30/08/2022
85619,01;4489,21;2,17;13,58;568;31/08/2022
82906,01;4442,03;1,5;13,88;638;01/09/2022
73249,22;4168,33;2,63;13,96;616;02/09/2022
75131,01;4287,79;3,88;15,46;502;03/09/2022
75041,17;4231,96;4,17;15,96;506;04/09/2022
74647,02;4196,6;4,79;16,71;404;05/09/2022
80681,01;4202,52;5,71;16,29;389;06/09/2022
89621,04;4134,15;4,63;14,88;35;07/09/2022
88106,07;4412,55;6,21;14,58;54;08/09/2022
82765,13;4329,02;2,63;14,71;79;09/09/2022
90270,02;4590,36;2,38;14,42;174;10/09/2022
96406,36;4679,88;1,21;13,5;401;11/09/2022
1216829,3;4583,71;2,92;13,88;76;12/09/2022
104297,04;4740,33;5,42;13,96;265;13/09/2022
111469,03;4896,29;4,17;13,21;122;14/09/2022
114030,05;4763,05;6,21;11,58;492;15/09/2022
109948,14;4731,85;4,17;12,21;411;16/09/2022
126196,04;5142,24;4;11,38;229;17/09/2022
138198,45;5337,11;4;10,33;314;18/09/2022
149420,04;5455,76;2,13;9,83;489;19/09/2022
144797,07;5371,91;0,96;8,88;606;20/09/2022
141922,05;5276,47;1,5;8,88;570;21/09/2022
143106,05;5219,69;1,75;9,67;301;22/09/2022
127302,16;4896,58;1,92;11,29;108;23/09/2022
131427,03;5127,79;1,42;11,17;325;24/09/2022
146846,42;5375,81;2,04;10,29;401;25/09/2022
165998,28;5780,87;3,79;10,08;0;26/09/2022
181317,06;6118,62;1,5;8,63;2;27/09/2022
179428,05;6029,81;1,08;8,33;19;28/09/2022
179980,04;5999,02;3,92;9,79;112;29/09/2022
173538,05;5817,83;2,92;10,46;153;30/09/2022
163093,03;5717;3,83;10,21;75;01/10/2022
151543,06;5418,67;4,42;11,21;372;02/10/2022
144302,18;5260,43;3,88;11,42;351;03/10/2022
140120,16;5339,36;3,88;12,5;149;04/10/2022
153404,09;5755,92;6,5;13,75;0;05/10/2022
145838,05;5633,51;6,75;12,58;286;06/10/2022
156223,26;5911,21;6,46;13,25;91;07/10/2022
174193,17;6381,45;3,29;9,25;328;08/10/2022
187645,07;6348,86;2,5;8,96;434;09/10/2022
197986,13;6458,12;3,46;8,75;277;10/10/2022
189378,07;6458,35;3,29;8,79;300;11/10/2022
199624,12;6510,33;2,46;9,04;126;12/10/2022
178098,05;5437,24;2;9,83;4;13/10/2022
157095,1;4937,03;1,92;10,38;261;14/10/2022
161104,29;5122,14;2,83;11,92;170;15/10/2022
191772,05;5754,21;5;10,75;317;16/10/2022
181206,11;5597,59;3,46;11,17;6;17/10/2022
200210,21;6103,62;4,04;10,58;168;18/10/2022
221277,06;6578,74;1,5;6,67;515;19/10/2022
201875,05;6038,69;4,04;7,13;412;20/10/2022
171194,36;5416,49;2,04;10,33;0;21/10/2022
181716,33;5665,85;1,75;12,38;16;22/10/2022
171448,04;5389,91;2,58;10,5;107;23/10/2022
175419,08;5471,83;4,79;13;47;24/10/2022
187715,05;5757,32;3,63;11,63;73;25/10/2022
168158,12;5361,87;2,5;11,33;86;26/10/2022
148505,02;5067,88;2,83;13,46;116;27/10/2022
154868,27;5085,3;3,17;14,38;203;28/10/2022
154291,23;5244,7;2,79;11,88;284;29/10/2022
157953,06;5141,64;2,38;13,29;32;30/10/2022
176098,04;5453,07;2,13;11,96;209;31/10/2022
197298,12;6017,13;6,38;12,46;46;01/11/2022
216143,09;6562,4;4;9,46;129;02/11/2022
226392,07;6700,25;5,04;9,75;46;03/11/2022
217957,32;6594,96;6,13;9,04;38;04/11/2022
212537,22;6466,89;3,29;8,5;242;05/11/2022
220624,05;6676,75;5,25;9,63;64;06/11/2022
198688,05;6388,13;4,58;10,21;157;07/11/2022
206717,07;7047,77;4,83;11,83;72;08/11/2022
227122,08;7488,83;4,54;10,67;118;09/11/2022
197657,55;6372,13;5,13;10,58;9;10/11/2022
187259,11;5990,31;7,38;13,17;0;11/11/2022
209595,15;6827,01;2,83;12,13;0;12/11/2022
236483,11;7276,11;2,79;8,79;124;13/11/2022
250454,08;7514,14;5,04;8,33;10;14/11/2022
269829,14;8038,37;5,33;7,88;27;15/11/2022
316235,12;9375,14;8,88;8,04;0;16/11/2022
340099,13;10141,67;10,33;5,25;129;17/11/2022
371896,18;11031,65;6,42;3,33;90;18/11/2022
373142,42;11083,94;2,79;0,38;100;19/11/2022
408577,12;12056,21;1,92;-1;358;20/11/2022
408245,22;11967,83;1,46;-0,33;43;21/11/2022
369325,12;10721,38;5,08;1,21;0;22/11/2022
336243,11;9869,93;4,5;4,67;0;23/11/2022
614758,1;9688,4;3,13;5,88;2;24/11/2022
299997,61;28423,68;3,33;5,83;0;25/11/2022
306635,15;9245,25;1,83;5,79;239;26/11/2022
338780,13;10136,15;3,67;5,38;24;27/11/2022
353009,12;10351,97;5,42;4,83;0;28/11/2022
355752,12;10425,85;3,13;3,42;0;29/11/2022
371030,23;10792,51;2,71;3,38;57;30/11/2022
379683,12;11101,71;2,79;2,58;85;01/12/2022
387032,59;11360,95;3,38;2,33;27;02/12/2022
388455,74;11503,48;4,25;1,21;0;03/12/2022
394595,13;11780,7;5,08;2,17;4;04/12/2022
378943,15;11458,75;4,5;2,21;0;05/12/2022
407349,13;12038,69;1,25;0,71;220;06/12/2022
444449,19;13123,62;2;-1;206;07/12/2022
428114,13;12500,06;1,54;-2,71;339;08/12/2022
420333,55;12461,84;2,17;0;92;09/12/2022
446020,13;13163,04;1,83;-1,42;53;10/12/2022
484505,16;14108,19;2,21;-2,17;145;11/12/2022
472799,14;13891,55;2,67;-3,13;92;12/12/2022
434585,92;12744,46;2,38;-1,96;33;13/12/2022
458611,83;13507;2,5;-0,08;119;14/12/2022
