﻿Dato,Wind,Temp,Sun,MWh,Flow
2020-01-01,5.21,4.29,40,373686,11049.86
2020-01-02,6.13,4.42,0,388693,11408.08
2020-01-03,5.5,5.29,31,369654,10790.46
2020-01-04,6.38,3.29,240,383225,11260.85
2020-01-05,3.42,3.79,5,396924,11696.14
2020-01-06,4.67,5.83,0,368927,10838.81
2020-01-07,5.54,5.83,70,365760,10678.15
2020-01-08,5.92,6.5,46,353054,10340.4
2020-01-09,3.83,5.21,0,366814,10663.38
2020-01-10,3.42,4.04,17,369348,10740.52
2020-01-11,6.83,4.5,0,393587,11384.6
2020-01-12,4.25,6.38,0,342459,10056.95
2020-01-13,3.92,4.25,74,380597,11084.02
2020-01-14,7.67,6.96,60,357564,10391.62
2020-01-15,7.08,7.08,0,344338,10149.67
2020-01-16,5.17,5.75,136,367589,10828.92
2020-01-17,3.71,5.88,122,359675,10549.62
2020-01-18,5.04,4.29,50,360757,10525.77
2020-01-19,3.63,3.17,359,377291,11057.47
2020-01-20,4.5,5.29,40,382960,11190.07
2020-01-21,6.08,5.71,0,366783,10676.54
2020-01-22,3.79,4.21,311,366783,10651.23
2020-01-23,4.17,5.21,0,366514,10714.74
2020-01-24,4.38,5.75,2,340646,10393.56
2020-01-25,3.38,5.29,6,340646,10143.44
2020-01-26,4.04,3.92,1,361220,10716.83
2020-01-27,3.79,5.38,10,358323,10647.42
2020-01-28,4.38,4.17,6,357249,10558.61
2020-01-29,4.67,4.13,189,368482,10996.21
2020-01-30,6.75,6.38,0,357692,10656.03
2020-01-31,6.46,7.13,1,344571,10303.25
2020-02-01,8.17,7.25,18,321265,9686.59
2020-02-02,3.88,3.21,77,360596,10880.77
2020-02-03,3.71,4.29,26,370355,11057.62
2020-02-04,4.29,2.46,238,379796,11419.48
2020-02-05,3.75,2.21,270,414735,12568.61
2020-02-06,5.33,5.88,15,372366,11141.3
2020-02-07,2.46,4.17,0,362260,10891.3
2020-02-08,3.79,3.17,55,373840,10325.02
2020-02-09,10.38,6.33,0,361231,9915.54
2020-02-10,8.42,4.58,64,368858,10104.99
2020-02-11,7.33,3.21,80,385838,10699.18
2020-02-12,7.42,3.17,42,408866,11372.86
2020-02-13,3.42,2.54,128,396734,10911.92
2020-02-14,2.63,2.88,67,394207,10834.24
2020-02-15,6.5,6.42,0,361897,9993.87
2020-02-16,9.67,7.83,0,330720,9195.07
2020-02-17,9.58,6.04,35,388436,10851.93
2020-02-18,6.88,4.75,129,383656,10638.85
2020-02-19,4.42,3.96,209,373365,10429.33
2020-02-20,6.38,4.71,0,379325,10494.09
2020-02-21,7.5,4.96,80,384874,10700.73
2020-02-22,11.08,6,79,365036,10220.38
2020-02-23,6.88,4.04,16,384325,10735.76
2020-02-24,3.88,2.96,0,404080,11174.78
2020-02-25,8.88,3.13,13,409588,11277.47
2020-02-26,2.71,0.25,37,423705,11688.28
2020-02-27,1.92,1,258,402639,11596.52
2020-02-28,4.67,3.25,283,379753,10637.46
2020-02-29,5.5,4.46,86,361600,10088.83
2020-03-01,6.92,4.25,139,361753,10094.77
2020-03-02,2.79,3.5,153,375632,10365.84
2020-03-03,2.17,3.46,164,361162,9962.04
2020-03-04,2.58,2.33,312,380896,10561.62
2020-03-05,1.75,1.88,248,375409,10447.5
2020-03-06,4.83,2.08,56,394756,10866.92
2020-03-07,2.13,2.08,278,381646,10596.37
2020-03-08,6.75,6.38,0,357930,10596.37
2020-03-09,2.96,6.08,89,340577,9509.39
2020-03-10,5.79,5.67,0,353673,9706.23
2020-03-11,7.21,6.21,378,329446,9282.65
2020-03-12,9.75,5.17,175,350216,9761.62
2020-03-13,5.08,3.21,208,362476,10097.58
2020-03-14,3.17,1.46,571,363791,10320.11
2020-03-15,6.79,6.21,0,347244,9724.35
2020-03-16,4.04,6.29,107,327290,9266.86
2020-03-17,5.54,6.21,44,341911,9683.67
2020-03-18,5.92,7.04,1,329638,9364.86
2020-03-19,3.08,4.79,402,319909,9102.94
2020-03-20,3.17,3.71,565,313252,8910.49
2020-03-21,2.96,1.96,645,332727,9441.68
2020-03-22,3.17,1.75,490,346548,9787.38
2020-03-23,3.67,1.92,684,356994,10064.61
2020-03-24,4.08,3.25,587,340870,9601.17
2020-03-25,3.25,3.63,678,320851,9131.59
2020-03-26,2.21,3.42,641,303390,8741.08
2020-03-27,2.08,3.83,704,299067,8618.44
2020-03-28,4.08,4.5,552,282110,8202.18
2020-03-29,6.29,1.92,706,311702,8892.64
2020-03-30,3.88,3.63,533,307188,8791.29
2020-03-31,3.92,2.25,372,341632,9586.23
2020-04-01,7.13,5.42,71,318352,8943.35
2020-04-02,8.5,5,55,330770,9328.66
2020-04-03,5.96,3.13,367,339266,9667.31
2020-04-04,2.42,4.13,267,315481,9210.13
2020-04-05,4,8.04,719,264523,8257.13
2020-04-06,3.79,10.54,744,212739,6981.06
2020-04-07,2.96,8.54,745,195163,7031.84
